SalesID,CustomerID,ProductID,OrderDate,UnitsSold
S001,C001,P001,03-01-2025,5
S002,C002,P003,14-01-2025,2
S003,C003,P006,22-01-2025,1
S004,C004,P002,05-02-2025,4
S005,C005,P010,12-02-2025,10
S006,C006,P009,20-02-2025,3
S007,C007,P014,01-03-2025,2
S008,C008,P015,08-03-2025,1
S009,C009,P008,15-03-2025,2
S010,C010,P012,22-03-2025,3
S011,C011,P013,02-04-2025,5
S012,C012,P005,10-04-2025,1
S013,C013,P019,18-04-2025,1
S014,C014,P011,04-05-2025,2
S015,C015,P007,15-05-2025,3
S016,C016,P004,23-05-2025,1
S017,C017,P016,01-06-2025,7
S018,C018,P018,10-06-2025,8
S019,C019,P020,18-06-2025,4
S020,C020,P002,26-06-2025,6
