Order ID,Order Date,Customer Name,Region,Country,City,Category,Sub-Category,Sales Amount,Quantity,Discount %,Profit,Order Priority,Customer Segment,Sales Rep,Remarks
ORD-1001,05-07-2023,Customer 15,North,Australia,Melbourne,Office Supplies,Paper,305.89,9,,291.65,High,Consumer,Rep-1,Urgent
ORD-1002,11-07-2023,Customer 6,North,UK,Birmingham,Technology,Laptop,2797.06,6,0,400.82,High,Home Office,Rep-1,Delayed
ORD-1003,06-12-2023,Customer 49,South,Australia,Brisbane,Furniture,Chair,1429.87,7,,236.15,High,Consumer,Rep-3,Delayed
ORD-1004,05-09-2023,Customer 33,,Canada,Toronto,Furniture,Chair,1385.89,4,,486.1,High,Corporate,Rep-4,Returned
ORD-1005,19-01-2024,Customer 32,East,USA,Chicago,Furniture,Table,1536.67,3,5,485.46,Low,Consumer,Rep-5,Delayed
ORD-1006,20-11-2023,Customer 47,,Canada,Vancouver,Furniture,Chair,1493.8,4,0,388.89,High,Home Office,Rep-3,Returned
ORD-1007,01-02-2024,Customer 13,North,Canada,Vancouver,Office Supplies,Binder,332.02,6,10,103.58,Medium,Home Office,Rep-6,
ORD-1008,10-10-2023,Customer 1,,Australia,Melbourne,Furniture,Table,2610.91,3,0,-334.99,Low,Home Office,Rep-7,
ORD-1009,18-01-2023,Customer 6,South,USA,Chicago,Office Supplies,Storage,2633.23,9,0,-236.33,Medium,Corporate,Rep-6,
ORD-1010,12-01-2024,Customer 34,West,Canada,Toronto,Furniture,Bookcase,2226.51,4,,636.67,High,Consumer,Rep-6,
ORD-1011,05-03-2023,Customer 29,North,UK,Manchester,Office Supplies,Storage,598.7,1,5,488.74,Medium,Corporate,Rep-1,
,12-02-2023,Customer 33,East,Canada,Montreal,Furniture,Table,1489.89,8,10,325.81,Medium,Corporate,Rep-6,Urgent
ORD-1013,03-06-2023,Customer 50,South,USA,San Francisco,Technology,Laptop,1352.51,3,0,377.65,Low,Home Office,Rep-5,Returned
ORD-1014,11-04-2023,Customer 26,,Canada,Toronto,Technology,Mobile,1191.03,7,10,732.53,Medium,Consumer,Rep-3,Urgent
ORD-1015,10-01-2023,Customer 47,North,Australia,Sydney,Technology,Laptop,341.38,6,5,-482.31,Low,Consumer,Rep-1,
ORD-1016,02-01-2024,Customer 43,,Australia,Melbourne,Furniture,Table,366.68,8,0,25.9,Low,Consumer,Rep-7,Urgent
ORD-1017,09-03-2023,Customer 8,South,Canada,Vancouver,Furniture,Chair,680.85,2,,609.84,Low,Corporate,Rep-4,Delayed
ORD-1018,03-05-2023,Customer 27,North,Australia,Sydney,Technology,Mobile,2321.85,2,0,937.88,Medium,Home Office,Rep-1,Delayed
ORD-1019,08-11-2023,Customer 21,West,UK,London,Technology,Laptop,750.44,9,5,730.99,Low,Home Office,Rep-6,Urgent
ORD-1020,10-03-2023,Customer 47,East,India,Bangalore,Office Supplies,Storage,2033.49,9,5,484.68,High,Home Office,Rep-5,Delayed
ORD-1021,03-07-2023,Customer 40,East,India,Mumbai,Furniture,Chair,2177.76,2,10,-222.66,High,Consumer,Rep-4,Delayed
ORD-1022,22-01-2023,Customer 3,West,Australia,Sydney,Technology,Mobile,1362.2,5,0,527.36,Medium,Corporate,Rep-6,Returned
ORD-1023,16-08-2023,Customer 18,South,Canada,Montreal,Furniture,Bookcase,979.34,3,,978.65,Low,Consumer,Rep-1,Delayed
,15-07-2023,Customer 33,East,India,Delhi,Furniture,Bookcase,2274.46,2,5,186.4,High,Corporate,Rep-4,Urgent
ORD-1025,22-04-2023,Customer 9,East,Canada,Montreal,Technology,Accessories,1779.38,1,10,572.77,Low,Corporate,Rep-3,Returned
ORD-1026,21-03-2023,Customer 53,South,Australia,Melbourne,Technology,Mobile,1710.76,5,0,537.54,High,Home Office,Rep-6,Urgent
ORD-1027,24-06-2023,Customer 15,,Canada,Vancouver,Office Supplies,Storage,1817.54,6,5,-252.53,Medium,Consumer,Rep-4,Returned
ORD-1028,27-11-2023,Customer 5,West,UK,London,Furniture,Bookcase,831.24,8,10,-91.61,Low,Consumer,Rep-3,
ORD-1029,21-01-2023,Customer 30,South,Australia,Sydney,Technology,Mobile,399.96,2,0,644.61,Low,Home Office,Rep-1,Returned
ORD-1030,01-01-2023,Customer 1,East,Australia,Sydney,Furniture,Bookcase,1640.22,7,0,734.67,Medium,Home Office,Rep-6,
ORD-1031,12-01-2023,Customer 54,,Australia,Brisbane,Technology,Laptop,1441.63,8,5,749.31,Low,Consumer,Rep-7,Returned
ORD-1032,03-09-2023,Customer 5,West,USA,New York,Office Supplies,Paper,675.37,5,,467.81,Low,Corporate,Rep-4,Urgent
ORD-1033,29-11-2023,Customer 2,South,India,Delhi,Office Supplies,Binder,1458.29,7,10,229.35,High,Corporate,Rep-2,Returned
ORD-1034,16-11-2023,Customer 23,East,Australia,Melbourne,Office Supplies,Paper,1661.4,4,5,610.97,High,Consumer,Rep-5,Urgent
ORD-1035,16-09-2023,Customer 15,East,India,Bangalore,Furniture,Bookcase,1295.42,8,10,-496.06,High,Consumer,Rep-4,Delayed
,14-04-2023,Customer 59,,USA,New York,Furniture,Chair,1209.01,7,,587.53,High,Home Office,Rep-4,Delayed
ORD-1037,31-03-2023,Customer 54,South,Canada,Montreal,Office Supplies,Paper,1951.02,8,10,942.9,High,Home Office,Rep-4,Returned
